identity_bin_low	identity_bin_high	aligned_bp	pct_of_total_bp	cumulative_pct
72.0	73.0	65997	0.309	0.309
73.0	74.0	20196	0.095	0.404
74.0	75.0	0	0.0	0.404
75.0	76.0	0	0.0	0.404
76.0	77.0	50821	0.238	0.642
77.0	78.0	0	0.0	0.642
78.0	79.0	0	0.0	0.642
79.0	80.0	3073	0.014	0.656
80.0	81.0	0	0.0	0.656
81.0	82.0	0	0.0	0.656
82.0	83.0	0	0.0	0.656
83.0	84.0	165907	0.777	1.433
84.0	85.0	0	0.0	1.433
85.0	86.0	0	0.0	1.433
86.0	87.0	347118	1.626	3.059
87.0	88.0	31287	0.147	3.205
88.0	89.0	166204	0.778	3.984
89.0	90.0	5299	0.025	4.008
90.0	91.0	65176	0.305	4.314
91.0	92.0	89799	0.421	4.734
92.0	93.0	329541	1.543	6.277
93.0	94.0	456933	2.14	8.417
94.0	95.0	490071	2.295	10.712
95.0	96.0	1819168	8.519	19.232
96.0	97.0	1414579	6.625	25.857
97.0	98.0	389652	1.825	27.681
98.0	99.0	1825093	8.547	36.229
99.0	100.0	13617175	63.771	100.0
